time,open,high,low,close,volume
2024-01-01 00:00:00,1.1000000000,1.1002500000,1.0997500000,1.1000000000,1000.0000000000
2024-01-01 01:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1010.0000000000
2024-01-01 02:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1020.0000000000
2024-01-01 03:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1030.0000000000
2024-01-01 04:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1040.0000000000
2024-01-01 05:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1050.0000000000
2024-01-01 06:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1060.0000000000
2024-01-01 07:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1070.0000000000
2024-01-01 08:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1080.0000000000
2024-01-01 09:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1090.0000000000
2024-01-01 10:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1100.0000000000
2024-01-01 11:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1110.0000000000
2024-01-01 12:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1120.0000000000
2024-01-01 13:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1130.0000000000
2024-01-01 14:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1140.0000000000
2024-01-01 15:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1150.0000000000
2024-01-01 16:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1160.0000000000
2024-01-01 17:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1170.0000000000
2024-01-01 18:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1180.0000000000
2024-01-01 19:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1190.0000000000
2024-01-01 20:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1200.0000000000
2024-01-01 21:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1210.0000000000
2024-01-01 22:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1220.0000000000
2024-01-01 23:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1230.0000000000
2024-01-02 00:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1240.0000000000
2024-01-02 01:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1250.0000000000
2024-01-02 02:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1260.0000000000
2024-01-02 03:00:00,1.1001000000,1.1003500000,1.0997500000,1.1000000000,1270.0000000000
2024-01-02 04:00:00,1.1000000000,1.1003000000,1.0997500000,1.1000500000,1280.0000000000
2024-01-02 05:00:00,1.1000500000,1.1003500000,1.0998000000,1.1001000000,1290.0000000000
2024-01-02 06:00:00,1.1001000000,1.1013500000,1.0998500000,1.1011000000,1300.0000000000
